"Id";"forme";"féminin";"féminin_pluriel";"pluriel";"type";"présent_dans_table_noms_et_adjectifs";"z";"participe_présent_orésent_dans_table_noms_et_adjectifs";"participe_passé_présent_dans_table_noms_et_adjectifs";"adverbe";"pluriel_correct";"féminin_correct";"féminin_pluriel_correct";"forme_correcte";"doublons";"à supprimer";"indice"
45415;"absidal";"absidale";"absidales";"absidaux";1;0;0;0;0;0;;;;;0;0;0
45416;"absolu";"absolue";"absolues";"absolus";3;1;0;0;0;0;;;;;0;0;21
45417;"absolutiste";;;"absolutistes";1;0;0;0;0;0;;;;;0;0;0
45418;"absolutoire";;;"absolutoires";1;0;0;0;0;0;;;;;0;0;0
45421;"abstentionniste";;;"abstentionnistes";3;1;0;0;0;0;;;;;0;0;1
45422;"abstinent";"abstinente";"abstinentes";"abstinents";3;1;0;0;0;0;;;;;0;0;0
45423;"abstracteur";;;"abstracteurs";1;0;0;0;0;0;;;;;0;0;0
84633;"abaissant";"abaissante";"abaissantes";"abaissants";4;0;0;0;0;0;;;;;0;0;4
84634;"abandonnant";"abandonnante";"abandonnantes";"abandonnants";4;1;0;0;0;0;;;;;0;0;1
84635;"abasourdissant";"abasourdissante";"abasourdissantes";"abasourdissants";4;0;1;0;0;0;;;;;0;0;0
84636;"abâtardissant";"abâtardissante";"abâtardissantes";"abâtardissants";4;0;0;0;0;0;;;;;0;0;0
84637;"abattant";"abattante";"abattantes";"abattants";4;0;0;0;0;0;;;;;0;0;0
84638;"abcédant";"abcédante";"abcédantes";"abcédants";4;0;0;0;0;0;;;;;0;0;0
84639;"abdiquant";"abdiquante";"abdiquantes";"abdiquants";4;0;0;0;0;0;;;;;0;0;0
84640;"aberrant";"aberrante";"aberrantes";"aberrants";4;0;0;0;0;0;;;;;0;0;4
84641;"abêtissant";"abêtissante";"abêtissantes";"abêtissants";4;0;0;0;0;0;;;;;0;0;0
84642;"abhorrant";"abhorrante";"abhorrantes";"abhorrants";4;0;0;0;0;0;;;;;0;0;0
84643;"abîmant";"abîmante";"abîmantes";"abîmants";4;0;0;0;0;0;;;;;0;0;0
84644;"abjurant";"abjurante";"abjurantes";"abjurants";4;0;0;0;0;0;;;;;0;0;0
45425;"abstrus";"abstruse";"abstruses";;1;0;0;0;0;0;;;;;0;0;1
45426;"abstème";;;"abstèmes";1;0;0;0;0;0;;;;;0;0;0
45427;"absurde";;;"absurdes";3;1;0;0;0;0;;;;;0;0;14
45428;"abusif";"abusive";"abusives";"abusifs";1;0;1;0;0;0;"abusifs";"abusive";"abusives";;0;0;11
45429;"abyssal";"abyssale";"abyssales";"abyssaux";1;0;0;0;0;0;;;;;0;0;0
45430;"abyssin";"abyssine";"abyssines";"abyssins";3;1;0;0;0;0;;;;;0;0;0
45431;"abyssinien";"abyssinienne";"abyssiniennes";"abyssiniens";1;0;0;0;0;0;;;;;0;0;0
45432;"abécédaire";;;"abécédaires";3;1;0;0;0;0;;;;;0;0;1
45433;"abélien";"abélienne";"abéliennes";"abéliens";1;0;0;0;0;0;;;;;0;0;5
45436;"acadien";"acadienne";"acadiennes";"acadiens";3;1;0;0;0;0;;;;;0;0;1
45437;"académique";;;"académiques";1;0;0;0;0;0;;;;;0;0;11
45438;"acariâtre";;;"acariâtres";1;0;0;0;0;0;;;;;0;0;0
45439;"acaule";;;"acaules";1;0;0;0;0;0;;;;;0;0;0
45443;"accapareur";"accapareuse";"accapareuses";"accapareurs";3;1;0;0;0;0;"accapareurs";"accapareuse";"accapareuses";;0;0;0
45444;"accentuel";"accentuelle";"accentuelles";"accentuels";1;0;0;0;0;0;;;;;0;0;0
45446;"acceptable";;;"acceptables";1;0;0;0;0;0;;;;;0;0;250
45449;"accessible";;;"accessibles";1;0;0;0;0;0;;;;;0;0;106
45450;"accessoire";;;"accessoires";3;1;0;0;0;0;;;;;0;0;32
45451;"accidentel";"accidentelle";"accidentelles";"accidentels";1;0;0;0;0;0;;;;;0;0;1
45453;"acclimatable";;;"acclimatables";1;0;0;0;0;0;;;;;0;0;0
45455;"accommodateur";"accommodatrice";"accommodatrices";"accommodateurs";1;0;0;0;0;0;"accommodateurs";"accommodatrice";"accommodatrices";;0;0;0
45459;"accordable";;;"accordables";1;0;0;0;0;0;;;;;0;0;0
45460;"accore";;;"accores";3;1;0;0;0;0;;;;;0;0;0
45461;"accort";"accorte";"accortes";"accorts";1;0;0;0;0;0;;;;;0;0;0
45462;"accostable";;;"accostables";1;0;0;0;0;0;;;;;0;0;0
45463;"accoucheur";"accoucheuse";"accoucheuses";"accoucheurs";3;1;0;0;0;0;"accoucheurs";"accoucheuse";"accoucheuses";;0;0;1
45467;"accrescent";"accrescente";"accrescentes";"accrescents";1;0;0;0;0;0;;;;;0;0;0
45468;"accrocheur";"accrocheuse";"accrocheuses";"accrocheurs";3;1;0;0;0;0;"accrocheurs";"accrocheuse";"accrocheuses";;0;0;1
45469;"accréditif";"accréditive";"accréditives";"accréditifs";3;1;0;0;0;0;"accréditifs";"accréditive";"accréditives";;0;0;0
84645;"ablatant";"ablatante";"ablatantes";"ablatants";4;0;0;0;0;0;;;;;0;0;0
84646;"abloquant";"abloquante";"abloquantes";"abloquants";4;0;0;0;0;0;;;;;0;0;0
84647;"abolissant";"abolissante";"abolissantes";"abolissants";4;0;0;0;0;0;;;;;0;0;3
84648;"abominant";"abominante";"abominantes";"abominants";4;0;0;0;0;0;;;;;0;0;0
84649;"abondant";"abondante";"abondantes";"abondants";4;0;0;0;0;0;;;;;0;0;3
84650;"abonnant";"abonnante";"abonnantes";"abonnants";4;0;0;0;0;0;;;;;0;0;0
84651;"abonnissant";"abonnissante";"abonnissantes";"abonnissants";4;0;0;0;0;0;;;;;0;0;0
84652;"abordant";"abordante";"abordantes";"abordants";4;0;0;0;0;0;;;;;0;0;0
84653;"abornant";"abornante";"abornantes";"abornants";4;0;0;0;0;0;;;;;0;0;0
84654;"abouchant";"abouchante";"abouchantes";"abouchants";4;0;0;0;0;0;;;;;0;0;0
84655;"aboulant";"aboulante";"aboulantes";"aboulants";4;0;0;0;0;0;;;;;0;0;0
84656;"aboutant";"aboutante";"aboutantes";"aboutants";4;0;0;0;0;0;;;;;0;0;0
84657;"aboutissant";"aboutissante";"aboutissantes";"aboutissants";4;0;0;0;0;0;;;;;0;0;28
84658;"aboyant";"aboyante";"aboyantes";"aboyants";4;0;0;0;0;0;;;;;0;0;0
84659;"abrasant";"abrasante";"abrasantes";"abrasants";4;0;1;0;0;0;;;;;0;0;0
45472;"accumulateur";"accumulatrice";"accumulatrices";"accumulateurs";3;1;0;0;0;0;"accumulateurs";"accumulatrice";"accumulatrices";;0;0;0
45473;"accusateur";"accusatrice";"accusatrices";"accusateurs";1;0;1;0;0;0;"accusateurs";"accusatrice";"accusatrices";;0;0;7
45474;"accusatoire";;;"accusatoires";1;0;1;0;0;0;;;;;0;0;4
45475;"accélérateur";"accélératrice";"accélératrices";"accélérateurs";3;1;0;0;0;0;"accélérateurs";"accélératrice";"accélératrices";;0;0;10
45477;"acerbe";;;"acerbes";1;0;0;0;0;0;;;;;0;0;3
45478;"acescent";"acescente";"acescentes";"acescents";1;0;0;0;0;0;;;;;0;0;0
45481;"achetable";;;"achetables";1;0;0;0;0;0;;;;;0;0;0
45482;"acheteur";"acheteuse";"acheteuses";"acheteurs";3;1;0;0;0;0;"acheteurs";"acheteuse";"acheteuses";;0;0;17
45483;"acheuléen";"acheuléenne";"acheuléennes";"acheuléens";3;1;0;0;0;0;;;;;0;0;0
45485;"achromatique";;;"achromatiques";1;0;0;0;0;0;;;;;0;0;1
45486;"achrome";;;"achromes";1;0;0;0;0;0;;;;;0;0;0
45487;"achromique";;;"achromiques";1;0;0;0;0;0;;;;;0;0;0
45488;"achéen";"achéenne";"achéennes";"achéens";3;1;0;0;0;0;;;;;0;0;0
45489;"achéménide";;;"achéménides";1;0;0;0;0;0;;;;;0;0;0
45490;"aciculaire";;;"aciculaires";1;0;0;0;0;0;;;;;0;0;0
45491;"acide";;;"acides";3;1;0;0;0;0;;;;;0;0;98
45492;"acidifiable";;;"acidifiables";1;0;0;0;0;0;;;;;0;0;0
45495;"acineux";"acineuse";"acineuses";;1;0;0;0;0;0;;"acineuse";"acineuses";"acineux";0;0;0
45496;"aciéreux";"aciéreuse";"aciéreuses";;1;0;0;0;0;0;;"aciéreuse";"aciéreuses";"aciéreux";0;0;0
45498;"acnéique";;;"acnéiques";3;1;0;0;0;0;;;;;0;0;0
45499;"acotylédone";;;"acotylédones";3;1;0;0;0;0;;;;;0;0;0
45500;"acoustique";;;"acoustiques";3;1;0;0;0;0;;;;;0;0;6
45502;"acquisitif";"acquisitive";"acquisitives";"acquisitifs";1;0;1;0;0;0;"acquisitifs";"acquisitive";"acquisitives";;0;0;0
45503;"acquittable";;;"acquittables";1;0;0;0;0;0;;;;;0;0;0
45505;"acridien";"acridienne";"acridiennes";"acridiens";3;1;0;0;0;0;;;;;0;0;0
45506;"acrimonieux";"acrimonieuse";"acrimonieuses";;1;0;0;0;0;0;;"acrimonieuse";"acrimonieuses";"acrimonieux";0;0;0
45507;"acrobatique";;;"acrobatiques";1;0;0;0;0;0;;;;;0;0;3
45508;"acromégale";;;"acromégales";1;0;0;0;0;0;;;;;0;0;0
45509;"acromégalique";;;"acromégaliques";1;0;0;0;0;0;;;;;0;0;0
45510;"acrostiche";;;"acrostiches";3;1;0;0;0;0;;;;;0;0;0
45511;"acrylique";;;"acryliques";1;0;0;0;0;0;;;;;0;0;7
45512;"actif";"active";"actives";"actifs";1;0;0;0;0;0;"actifs";"active";"actives";;0;0;43
45513;"actinique";;;"actiniques";1;0;0;0;0;0;;;;;0;0;1
45514;"actinométrique";;;"actinométriques";1;0;0;0;0;0;;;;;0;0;0
45515;"activateur";"activatrice";"activatrices";"activateurs";3;1;0;0;0;0;"activateurs";"activatrice";"activatrices";;0;0;0
45516;"activiste";;;"activistes";3;1;0;0;0;0;;;;;0;0;1
45517;"actuariel";"actuarielle";"actuarielles";"actuariels";1;0;0;0;0;0;;;;;0;0;0
84660;"abrégeant";"abrégeante";"abrégeantes";"abrégeants";4;0;0;0;0;0;;;;;0;0;0
84661;"abreuvant";"abreuvante";"abreuvantes";"abreuvants";4;0;0;0;0;0;;;;;0;0;0
84662;"abricotant";"abricotante";"abricotantes";"abricotants";4;0;0;0;0;0;;;;;0;0;0
84663;"abriant";"abriante";"abriantes";"abriants";4;0;0;0;0;0;;;;;0;0;0
84664;"abritant";"abritante";"abritantes";"abritants";4;0;0;0;0;0;;;;;0;0;2
84665;"abrogeant";"abrogeante";"abrogeantes";"abrogeants";4;0;0;0;0;0;;;;;0;0;110
84666;"abrutissant";"abrutissante";"abrutissantes";"abrutissants";4;0;0;0;0;0;;;;;0;0;2
84667;"absentant";"absentante";"absentantes";"absentants";4;0;0;0;0;0;;;;;0;0;0
84668;"absorbant";"absorbante";"absorbantes";"absorbants";4;0;0;0;0;0;;;;;0;0;5
84669;"absolvant";"absolvante";"absolvantes";"absolvants";4;0;0;0;0;0;;;;;0;0;0
45518;"actuel";"actuelle";"actuelles";"actuels";1;0;0;0;0;0;;;;;0;0;468
45519;"acuminé";"acuminée";"acuminées";"acuminés";1;0;0;0;0;0;;;;;0;0;0
45520;"acutangle";;;"acutangles";1;0;0;0;0;0;;;;;0;0;0
45521;"acyclique";;;"acycliques";1;0;0;0;0;0;;;;;0;0;0
45522;"acéphale";;;"acéphales";3;1;0;0;0;0;;;;;0;0;0
45524;"acétique";;;"acétiques";1;0;0;0;0;0;;;;;0;0;2
45525;"acétylénique";;;"acétyléniques";1;0;0;0;0;0;;;;;0;0;0
45526;"adamantin";"adamantine";"adamantines";"adamantins";1;0;0;0;0;0;;;;;0;0;0
45527;"adamien";"adamienne";"adamiennes";"adamiens";3;1;0;0;0;0;;;;;0;0;0
45528;"adamique";;;"adamiques";1;0;0;0;0;0;;;;;0;0;0
45529;"adamite";;;"adamites";3;1;0;0;0;0;;;;;0;0;0
45530;"adaptable";;;"adaptables";1;0;0;0;0;0;;;;;0;0;5
45531;"adaptatif";"adaptative";"adaptatives";"adaptatifs";1;0;0;0;0;0;"adaptatifs";"adaptative";"adaptatives";;0;0;0
45533;"additif";"additive";"additives";"additifs";3;1;0;0;0;0;"additifs";"additive";"additives";;0;0;7
45534;"additionnel";"additionnelle";"additionnelles";"additionnels";1;0;0;0;0;0;;;;;0;0;109
45535;"adducteur";"adductrice";"adductrices";"adducteurs";3;1;0;0;0;0;"adducteurs";"adductrice";"adductrices";;0;0;0
121459;"praticien";"praticienne";"praticiennes";"praticiens";;0;0;0;0;0;;;;;0;0;11
121460;"conditionnalité";;;"conditionnalités";;0;0;0;0;0;;;;;0;0;0
121461;"délocalisation";;;"délocalisations";;0;1;0;0;0;;;;;0;0;0
121462;"acronyme";;;"acronymes";;0;0;0;0;0;;;;;0;0;69
121463;"mondialisation";;;"mondialisations";;0;1;0;0;0;;;;;0;0;74
121464;"globalisation";;;"globalisations";;0;1;0;0;0;;;;;0;0;4
121465;"pour ce qui concerne";;;;;0;0;0;0;0;;;;;0;0;0
121466;"labellisation";;;"labellisations";;0;1;0;0;0;;;;;0;0;6
121470;"ab intesta";;;;;0;0;0;0;0;;;;;0;0;0
121471;"rapiècement";;;"rapiècements";;0;0;0;0;0;;;;;0;0;0
121472;"grosso modo";;;;;0;0;0;0;0;;;;;0;0;0
121474;"parfois";;;;;0;0;0;0;0;;;;;0;0;360
121475;"paramétrable";;;"paramétrables";;0;0;0;0;0;;;;;0;0;0
121477;"systématisme";;;"systématismes";;0;0;0;0;0;;;;;0;0;0
121479;"deux";;;;;0;0;0;0;0;;;;;0;0;4060
121481;"n'est-ce pas";;;;;0;0;0;0;0;;;;;0;0;0
121354;"Blackberry";;;;;0;0;0;0;0;;;;;0;0;0
121356;"interétatique";;;"interétatiques";;0;0;0;0;0;;;;;0;0;0
121357;"interceptabilité";;;"interceptabilités";;0;0;0;0;0;;;;;0;0;0
121358;"reformatage";;;"reformatages";;0;0;0;0;0;;;;;0;0;26
121359;"corigendum";;;;;0;0;0;0;0;;;;;0;0;0
121360;"Washington";;;;;0;0;0;0;0;;;;;0;0;85
121361;"nonobstant";;;;;0;0;0;0;0;;;;;0;0;64
121362;"europhile";;;"europhiles";;0;0;0;0;0;;;;;0;0;0
121363;"réadmission";;;"réadmissions";;0;0;0;0;0;;;;;0;0;0
121364;"transgénarationnel";"transgénarationnelle";"transgénarationnelles";"transgénarationnels";;0;0;0;0;0;;;;;0;0;0
121365;"au fur et à mesure";;;;;0;1;0;0;0;;;;;0;0;0
121366;"contournable";;;"contournables";;0;0;0;0;0;;;;;0;0;0
121369;"partenariat";;;"partenariats";;0;0;0;0;0;;;;;0;0;430
121370;"limousine";;;"limousines";;0;1;0;0;0;;;;;0;0;0
121371;"Laurent";;;;;0;0;0;0;0;;;;;0;0;134
121372;"viennoiseries";;;"viennoiseries";;0;1;0;0;0;;;;;0;0;1
121373;"patrimonial";"patrimoniale";"patrimoniales";"patrimoniaux";;0;0;0;0;0;;;;;0;0;4
121374;"conclusif";"conclusive";"conclusives";"conclusifs";;0;1;0;0;0;;;;;0;0;0
121375;"refondation";;;"refondations";;0;0;0;0;0;;;;;0;0;2
121376;"vulcanologue";;;"vulcanologues";;0;0;0;0;0;;;;;0;0;0
121377;"Angleterre";;;;;0;0;0;0;0;;;;;0;0;10
121378;"Saint Germain-en-Laye";;;;;0;0;0;0;0;;;;;0;0;0
45729;"allègre";;;"allègres";1;0;0;0;0;0;;;;;0;0;4
45732;"allégorique";;;"allégoriques";1;0;0;0;0;0;;;;;0;0;4
45733;"alogique";;;"alogiques";1;0;0;0;0;0;;;;;0;0;0
45735;"alpestre";;;"alpestres";1;0;0;0;0;0;;;;;0;0;1
45736;"alphabétique";;;"alphabétiques";1;0;0;0;0;0;;;;;0;0;2
45737;"alphanumérique";;;"alphanumériques";1;0;0;0;0;0;;;;;0;0;0
45738;"alpin";"alpine";"alpines";"alpins";1;0;0;0;0;0;;;;;0;0;1
45739;"alsacien";"alsacienne";"alsaciennes";"alsaciens";1;0;1;0;0;0;;;;;0;0;1
45740;"altaïque";;;"altaïques";1;0;0;0;0;0;;;;;0;0;0
45742;"alternatif";"alternative";"alternatives";"alternatifs";1;0;0;0;0;0;"alternatifs";"alternative";"alternatives";;0;0;123
45743;"alterne";;;"alternes";1;0;0;0;0;0;;;;;0;0;0
45745;"altier";"altière";"altières";"altiers";1;0;0;0;0;0;"altiers";"altière";"altières";;0;0;4
45746;"altruiste";;;"altruistes";3;1;0;0;0;0;;;;;0;0;0
45747;"altérable";;;"altérables";1;0;0;0;0;0;;;;;0;0;0
45750;"alumineux";"alumineuse";"alumineuses";;1;0;0;0;0;0;;"alumineuse";"alumineuses";"alumineux";0;0;0
45751;"alvin";"alvine";"alvines";"alvins";1;0;0;0;0;0;;;;;0;0;0
45752;"alvéolaire";;;"alvéolaires";1;0;0;0;0;0;;;;;0;0;0
45753;"alvéolé";"alvéolée";"alvéolées";"alvéolés";1;0;0;0;0;0;;;;;0;0;0
45754;"aléatoire";;;"aléatoires";1;0;0;0;0;0;;;;;0;0;26
45755;"alémanique";;;"alémaniques";3;1;0;0;0;0;;;;;0;0;0
45756;"alénois";;;;1;0;0;0;0;0;;;;;0;0;0
45757;"aléseur";"aléseuse";"aléseuses";"aléseurs";3;1;1;0;0;0;"aléseurs";"aléseuse";"aléseuses";;0;0;0
84718;"achevant";"achevante";"achevantes";"achevants";4;0;0;0;0;0;;;;;0;0;2
84719;"achoppant";"achoppante";"achoppantes";"achoppants";4;0;0;0;0;0;;;;;0;0;0
84720;"achromatisant";"achromatisante";"achromatisantes";"achromatisants";4;0;1;0;0;0;;;;;0;0;0
84721;"acidifiant";"acidifiante";"acidifiantes";"acidifiants";4;0;0;0;0;0;;;;;0;0;0
84722;"acidulant";"acidulante";"acidulantes";"acidulants";4;0;0;0;0;0;;;;;0;0;0
84723;"aciérant";"aciérante";"aciérantes";"aciérants";4;0;0;0;0;0;;;;;0;0;0
84724;"aciselant";"aciselante";"aciselantes";"aciselants";4;0;1;0;0;0;;;;;0;0;0
84725;"acquérant";"acquérante";"acquérantes";"acquérants";4;0;0;0;0;0;;;;;0;0;0
84726;"acquiesçant";"acquiesçante";"acquiesçantes";"acquiesçants";4;0;0;0;0;0;;;;;0;0;0
84727;"acquittant";"acquittante";"acquittantes";"acquittants";4;0;0;0;0;0;;;;;0;0;1
84728;"actant";"actante";"actantes";"actants";4;0;0;0;0;0;;;;;0;0;0
84729;"actionnant";"actionnante";"actionnantes";"actionnants";4;0;0;0;0;0;;;;;0;0;0
45761;"amarante";;;;3;1;0;0;0;0;;;;;0;0;0
45762;"amaril";"amarile";"amariles";"amarils";1;0;0;0;0;0;;;;;0;0;10
45763;"amateur";;;"amateurs";3;1;0;0;0;0;;;;;0;0;73
45764;"amaurotique";;;"amaurotiques";1;0;0;0;0;0;;;;;0;0;0
45765;"amazonien";"amazonienne";"amazoniennes";"amazoniens";1;0;1;0;0;0;;;;;0;0;1
45766;"ambiant";"ambiante";"ambiantes";"ambiants";1;0;0;0;0;0;;;;;0;0;9
45767;"ambidextre";;;"ambidextres";1;0;0;0;0;0;;;;;0;0;0
45768;"ambigu";"ambiguë";"ambiguës";"ambigus";1;0;0;0;0;0;"ambigus";"ambiguë";"ambiguës";;0;0;7
45769;"ambitieux";"ambitieuse";"ambitieuses";;3;1;0;0;0;0;;"ambitieuse";"ambitieuses";"ambitieux";1;0;122
45770;"ambivalent";"ambivalente";"ambivalentes";"ambivalents";1;0;0;0;0;0;;;;;0;0;3
45771;"amblyope";;;"amblyopes";3;1;0;0;0;0;;;;;0;0;0
45772;"ambrosien";"ambrosienne";"ambrosiennes";"ambrosiens";1;0;1;0;0;0;;;;;0;0;0
