"forme";"z";"type"
"déciller";0;7
"décimaliser";1;7
"décimer";0;7
"décintrer";0;7
"déclamer";0;7
"déclarer";0;7
"déclasser";0;7
"déclassifier";0;7
"déclaveter";0;7
"déclencher";0;7
"décléricaliser";1;7
"décliner";0;7
"déclinquer";0;7
"décliqueter";0;7
"déclocher";0;7
"décloisonner";1;7
"déclore";0;7
"déclouer";0;7
"décoaguler";0;7
"décocher";0;7
"décoconner";0;7
"décoder";0;7
"décoffrer";0;7
"décoiffer";0;7
"décoincer";0;7
"décolérer";0;7
"décoller";0;7
"décolleter";0;7
"décoloniser";1;7
"décolorer";0;7
"décommander";0;7
"décommettre";0;7
"décommuniser";1;7
"décompenser";0;7
"décomplexer";0;7
"décomposer";1;7
"décompresser";0;7
"décomprimer";0;7
"décompter";0;7
"déconcentrer";0;7
"déconcerter";0;7
"déconditionner";0;7
"déconfire";0;7
"décongeler";0;7
"décongestionner";0;7
"déconnecter";0;7
"déconner";0;7
"déconseiller";0;7
"déconsidérer";0;7
"déconsigner";0;7
"déconstiper";0;7
"déconstruire";0;7
"décontaminer";0;7
"décontenancer";0;7
"décontracter";0;7
"décorder";0;7
"décorer";0;7
"décorner";0;7
"décortiquer";0;7
"découcher";0;7
"découdre";0;7
"découler";0;7
"découper";0;7
"découpler";0;7
"décourager";0;7
"découronner";0;7
"découvrir";0;7
"décrasser";0;7
"décrédibiliser";1;7
"décréditer";0;7
"décrêper";0;7
"décrépir";0;7
"décrépiter";0;7
"décréter";0;7
"décreuser";1;7
"décrier";0;7
"décriminaliser";1;7
"décriquer";0;7
"décrire";0;7
"décrisper";0;7
"décrisser";0;7
"décrocher";0;7
"décrochir";0;7
"décroiser";1;7
"décroître";0;7
"décrotter";0;7
"décroûter";0;7
"décruer";0;7
"décruser";1;7
"décrypter";0;7
"décuire";0;7
"décuivrer";0;7
"déculasser";0;7
"déculotter";0;7
"déculpabiliser";1;7
"décupler";0;7
"décuver";0;7
"dédaigner";0;7
"dédicacer";0;7
"dédier";0;7
"se dédifférencier";0;7
"dédire";0;7
"dédiviniser";1;7
"dédommager";0;7
"dédorer";0;7
"dédouaner";0;7
"dédoubler";0;7
"dédramatiser";1;7
"déduire";0;7
"se défâcher";0;7
"défaillir";0;7
"défaire";0;7
"défalquer";0;7
"défarder";0;7
"défatiguer";0;7
"défaufiler";0;7
"défausser";0;7
"défavoriser";1;7
"défendre";0;7
"défenestrer";0;7
"déféquer";0;7
"déférer";0;7
"déferler";0;7
"déferrer";0;7
"déferriser";1;7
"défeuiller";0;7
"défeutrer";0;7
"défibrer";0;7
"déficeler";0;7
"déficher";0;7
"défier";0;7
"défiger";0;7
"défigurer";0;7
"défiler";0;7
"définir";0;7
"défiscaliser";1;7
"déflagrer";0;7
"déflaquer";0;7
"défléchir";0;7
"défleurir";0;7
"déflorer";0;7
"défolier";0;7
"défoncer";0;7
"déforcer";0;7
"déforester";0;7
"déformer";0;7
"défouler";0;7
"défourailler";0;7
"défourner";0;7
"défourrer";0;7
"défoxer";0;7
"défraîchir";0;7
"défranciser";1;7
"circulariser";1;7
"circuler";0;7
"cirer";0;7
"cisailler";1;7
"ciseler";1;7
"citer";0;7
"civiliser";1;7
"clabauder";0;7
"claboter";0;7
"claironner";0;7
"clamecer";0;7
"clamer";0;7
"clamper";0;7
"clampser";0;7
"clamser";0;7
"claper";0;7
"se clapir";0;7
"clapoter";0;7
"clapper";0;7
"clapser";0;7
"claquemurer";0;7
"claquer";0;7
"claqueter";0;7
"clarifier";0;7
"classer";0;7
"classifier";0;7
"claudiquer";0;7
"claustrer";0;7
"claver";0;7
"claveter";0;7
"clavetter";0;7
"clayonner";0;7
"clicher";0;7
"cligner";0;7
"clignoter";0;7
"climatiser";1;7
"cliquer";0;7
"cliqueter";0;7
"clisser";0;7
"cliver";0;7
"clochardiser";1;7
"clocher";0;7
"cloisonner";1;7
"cloîtrer";0;7
"cloner";0;7
"clopiner";0;7
"cloquer";0;7
"clore";0;7
"clôturer";0;7
"clouer";0;7
"clouter";0;7
"coaguler";0;7
"coalescer";0;7
"coaliser";1;7
"coasser";0;7
"cocher";0;7
"côcher";0;7
"cochonner";0;7
"coconner";0;7
"cocoter";0;7
"cocotter";0;7
"cocufier";0;7
"coder";0;7
"codifier";0;7
"coéditer";0;7
"coexister";0;7
"coffrer";0;7
"cogérer";0;7
"cogiter";0;7
"cogner";0;7
"cohabiter";0;7
"cohériter";0;7
"coiffer";0;7
"coincer";0;7
"coïncider";0;7
"cokéfier";0;7
"collaborer";0;7
"collapser";0;7
"collationner";0;7
"collecter";0;7
"collectionner";0;7
"collectiviser";1;7
"coller";0;7
"se colletailler";0;7
"colleter";0;7
"colliger";0;7
"colloquer";0;7
"colmater";0;7
"coloniser";1;7
"colorer";0;7
"colorier";0;7
"coloriser";1;7
"colporter";0;7
"coltiner";0;7
"combattre";0;7
"combiner";0;7
"combler";0;7
"commander";0;7
"commanditer";0;7
"commémorer";0;7
"commencer";0;7
"commenter";0;7
"commercer";0;7
"commercialiser";1;7
"commérer";0;7
"commettre";0;7
"commissionner";0;7
"commotionner";0;7
"commuer";0;7
"communaliser";1;7
"communier";0;7
"communiquer";0;7
"commuter";0;7
"compacter";0;7
"comparaître";0;7
"comparer";0;7
"comparoir";0;7
"compartimenter";0;7
"compasser";0;7
"compatir";0;7
"compenser";0;7
"compéter";0;7
"compiler";0;7
"compisser";0;7
"complaindre";0;7
"se complaire";0;7
"complanter";0;7
"compléter";0;7
"complexer";0;7
"complexifier";0;7
"complimenter";0;7
"compliquer";0;7
"comploter";0;7
"comporter";0;7
"composer";1;7
"composter";0;7
"comprendre";0;7
"compresser";0;7
"comprimer";0;7
"compromettre";0;7
"comptabiliser";1;7
"compter";0;7
"compulser";0;7
"computer";0;7
"concasser";0;7
"concéder";0;7
"concélébrer";0;7
"concentrer";0;7
"conceptualiser";1;7
"concerner";0;7
"concerter";0;7
"concevoir";0;7
"conchier";0;7
"concilier";0;7
"conclure";0;7
"concocter";0;7
"concorder";0;7
"concourir";0;7
"bonimenter";0;7
"border";0;7
"bordurer";0;7
"borner";0;7
"bornoyer";0;7
"bosseler";0;7
"bosser";0;7
"bossuer";0;7
"bostonner";0;7
"botaniser";1;7
"botteler";0;7
"botter";0;7
"boubouler";0;7
"boucaner";0;7
"boucharder";0;7
"boucher";0;7
"bouchonner";0;7
"boucler";0;7
"bouder";0;7
"boudiner";0;7
"bouffer";0;7
"bouffir";0;7
"bouffonner";0;7
"bouger";0;7
"bougonner";0;7
"bouillir";0;7
"bouillonner";0;7
"bouillotter";0;7
"boulanger";0;7
"bouler";0;7
"bouleverser";0;7
"bouliner";0;7
"boulocher";0;7
"boulonner";0;7
"boulotter";0;7
"boumer";0;7
"bouquiner";0;7
"bourasser";0;7
"bourder";0;7
"bourdonner";0;7
"bourgeonner";0;7
"bourlinguer";0;7
"bourreler";0;7
"bourrer";0;7
"bourriquer";0;7
"boursicoter";0;7
"boursoufler";0;7
"bousculer";0;7
"bousiller";1;7
"boustifailler";0;7
"bouter";0;7
"boutonner";0;7
"bouturer";0;7
"boxer";0;7
"se boyauter";0;7
"boycotter";0;7
"braconner";0;7
"brader";0;7
"brailler";0;7
"braire";0;7
"braiser";1;7
"bramer";0;7
"brancarder";0;7
"brancher";0;7
"brandiller";0;7
"brandir";0;7
"branler";0;7
"braquer";0;7
"braser";1;7
"brasiller";1;7
"brasser";0;7
"brasseyer";0;7
"braver";0;7
"brayer";0;7
"bredouiller";0;7
"bréler";0;7
"brêler";0;7
"breller";0;7
"brésiller";1;7
"bretailler";0;7
"bretteler";0;7
"bretter";0;7
"breveter";0;7
"bricoler";0;7
"brider";0;7
"bridger";0;7
"briefer";0;7
"brifer";0;7
"briffer";0;7
"brigander";0;7
"briguer";0;7
"brillanter";0;7
"brillantiner";0;7
"briller";0;7
"brimbaler";0;7
"brimer";0;7
"bringuebaler";0;7
"bringueballer";0;7
"brinquebaler";0;7
"brinqueballer";0;7
"briquer";0;7
"briqueter";0;7
"briser";1;7
"brocanter";0;7
"brocarder";0;7
"brocher";0;7
"broder";0;7
"broncher";0;7
"bronzer";1;7
"brosser";0;7
"brouetter";0;7
"brouillasser";0;7
"brouiller";0;7
"brouillonner";0;7
"brouter";0;7
"broyer";0;7
"bruiner";0;7
"bruir";0;7
"bruire";0;7
"bruisser";0;7
"bruiter";0;7
"brûler";0;7
"brumasser";0;7
"brumer";0;7
"brunir";0;7
"brusquer";0;7
"brutaliser";1;7
"bûcher";0;7
"budgéter";0;7
"budgétiser";1;7
"buller";0;7
"bureaucratiser";1;7
"buriner";0;7
"busquer";0;7
"buter";0;7
"butiner";0;7
"butter";0;7
"buvoter";0;7
"cabaler";0;7
"cabaner";0;7
"cabasser";0;7
"câbler";0;7
"cabocher";0;7
"cabosser";0;7
"caboter";0;7
"cabotiner";0;7
"cabrer";0;7
"cabrioler";0;7
"cacaber";0;7
"cacarder";0;7
"cacasser";0;7
"cacher";0;7
"cacheter";0;7
"cachetonner";0;7
"cadancher";0;7
"cadastrer";0;7
"cadenasser";0;7
"cadencer";0;7
"cadmier";0;7
"cadrer";0;7
"cafarder";0;7
"cafeter";0;7
"concréter";0;7
"concrétiser";1;7
"concurrencer";0;7
"condamner";0;7
"condenser";0;7
"condescendre";0;7
"conditionner";0;7
"conduire";0;7
"confectionner";0;7
"confédérer";0;7
"conférer";0;7
"confesser";0;7
"confier";0;7
"configurer";0;7
"confiner";0;7
"confire";0;7
"confirmer";0;7
"confisquer";0;7
"confluer";0;7
"confondre";0;7
"conformer";0;7
"conforter";0;7
"confractualiser";1;7
"confronter";0;7
"congédier";0;7
"congeler";0;7
"congestionner";0;7
"conglomérer";0;7
"conglutiner";0;7
"congratuler";0;7
"congréer";0;7
"cônir";0;7
"conjecturer";0;7
"conjoindre";0;7
"conjuguer";0;7
"conjurer";0;7
"connaître";0;7
"connecter";0;7
"connoter";0;7
"conobrer";0;7
"conquérir";0;7
"consacrer";0;7
"conscientiser";1;7
"conseiller";0;7
"consentir";0;7
"conserver";0;7
"considérer";0;7
"consigner";0;7
"consister";0;7
"consoler";0;7
"consolider";0;7
"consommer";0;7
"consoner";0;7
"conspirer";0;7
"conspuer";0;7
"constater";0;7
"consteller";0;7
"consterner";0;7
"constiper";0;7
"constituer";0;7
"constitutionnaliser";1;7
"construire";0;7
"consulter";0;7
"consumer";0;7
"contacter";0;7
"contagionner";0;7
"containeriser";1;7
"contaminer";0;7
"contempler";0;7
"conteneuriser";1;7
"contenir";0;7
"contenter";0;7
"conter";0;7
"contester";0;7
"contingenter";0;7
"continuer";0;7
"se contorsionner";0;7
"contourner";0;7
"contracter";0;7
"contractualiser";1;7
"contracturer";0;7
"contraindre";0;7
"contrarier";0;7
"contraster";0;7
"contre-attaquer";0;7
"contre-bouter";0;7
"contre-buter";0;7
"contre-indiquer";0;7
"contre-manifester";0;7
"contre-miner";0;7
"contre-murer";0;7
"contre-passer";0;7
"contre-plaquer";0;7
"contre-sceller";0;7
"contre-tirer";0;7
"contrebalancer";0;7
"contrebattre";0;7
"contrebouter";0;7
"contrebraquer";0;7
"contrebuter";0;7
"contrecarrer";0;7
"contredire";0;7
"contrefaire";0;7
"se contreficher";0;7
"contreficher";0;7
"se contrefoutre";0;7
"contremander";0;7
"contremarquer";0;7
"contrer";0;7
"contresigner";1;7
"contrevenir";0;7
"contreventer";0;7
"contribuer";0;7
"contrister";0;7
"contrôler";0;7
"controuver";0;7
"controverser";0;7
"contusionner";1;7
"convaincre";0;7
"convenir";0;7
"conventionner";0;7
"converger";0;7
"converser";0;7
"convertir";0;7
"convier";0;7
"convivialiser";1;7
"convoiter";0;7
"convoler";0;7
"convoquer";0;7
"convoyer";0;7
"convulser";0;7
"convulsionner";0;7
"coopérer";0;7
"coopter";0;7
"coordonner";0;7
"copartager";0;7
"copermuter";0;7
"copier";0;7
"copiner";0;7
"coposséder";0;7
"coproduire";0;7
"copuler";0;7
"coquer";0;7
"coqueriquer";0;7
"coqueter";0;7
"coquiller";0;7
"cordeler";0;7
"corder";0;7
"cordonner";0;7
"cornaquer";0;7
"baliser";1;7
"baliverner";0;7
"balkaniser";1;7
"ballaster";0;7
"baller";0;7
"ballonner";0;7
"ballotter";0;7
"balustrer";0;7
"bambocher";0;7
"banaliser";1;7
"bancher";0;7
"bander";0;7
"banner";0;7
"bannir";0;7
"banquer";0;7
"banqueter";0;7
"baptiser";1;7
"baqueter";0;7
"baragouiner";0;7
"baraquer";0;7
"baratiner";0;7
"baratter";0;7
"barber";0;7
"barbifier";0;7
"barboter";0;7
"barbouiller";0;7
"bardasser";0;7
"barder";0;7
"baréter";0;7
"barguigner";0;7
"barioler";0;7
"baronner";0;7
"barouder";0;7
"barouetter";0;7
"barrer";0;7
"barricader";0;7
"barrir";0;7
"basaner";1;7
"basculer";0;7
"baser";1;7
"bassiner";0;7
"bastillonner";0;7
"bastionner";0;7
"batailler";0;7
"bateler";0;7
"bâter";0;7
"batifoler";0;7
"bâtir";0;7
"bâtonner";0;7
"battre";0;7
"bauger";0;7
"bavarder";0;7
"bavasser";0;7
"baver";0;7
"bavocher";0;7
"bayer";0;7
"bazarder";1;7
"béatifier";0;7
"bêcher";0;7
"bêcheveter";0;7
"bécoter";0;7
"becquer";0;7
"becqueter";0;7
"becter";0;7
"bedainer";0;7
"bedonner";0;7
"béer";0;7
"bégayer";0;7
"bégueter";0;7
"bêler";0;7
"bémoliser";1;7
"bénéficier";0;7
"bénir";0;7
"béquer";0;7
"béqueter";0;7
"béquiller";0;7
"bercer";0;7
"berner";0;7
"besogner";1;7
"bestialiser";1;7
"bêtifier";0;7
"bêtiser";1;7
"bétonner";0;7
"beugler";0;7
"beurrer";0;7
"biaiser";1;7
"bibeloter";0;7
"biberonner";0;7
"bicher";0;7
"bichonner";0;7
"bichoter";0;7
"se bidonner";0;7
"bidouiller";0;7
"bienvenir";0;7
"biffer";0;7
"bifurquer";0;7
"bigarrer";0;7
"bigler";0;7
"bigophoner";0;7
"bigorner";0;7
"se biler";0;7
"billancher";0;7
"billebauder";0;7
"billonner";0;7
"biloquer";0;7
"biner";0;7
"biologiser";1;7
"biscuiter";0;7
"biseauter";1;7
"bisegmenter";1;7
"biser";1;7
"bisquer";0;7
"bissecter";0;7
"bisser";0;7
"bistourner";0;7
"bistrer";0;7
"biter";0;7
"bitter";0;7
"se bitturer";0;7
"bitumer";0;7
"bituminer";0;7
"se biturer";0;7
"bivouaquer";0;7
"bizuter";1;7
"blablater";0;7
"blackbouler";0;7
"blaguer";0;7
"blairer";0;7
"blâmer";0;7
"blanchir";0;7
"blaser";1;7
"blasonner";1;7
"blasphémer";0;7
"blatérer";0;7
"blêmir";0;7
"bléser";1;7
"blesser";0;7
"blettir";0;7
"bleuir";0;7
"bleuter";0;7
"blinder";0;7
"blistériser";1;7
"blondir";0;7
"blondoyer";0;7
"bloquer";0;7
"se blottir";0;7
"blouser";1;7
"bluffer";0;7
"bluter";0;7
"bobiner";0;7
"bocarder";0;7
"boetter";0;7
"boire";0;7
"boiser";1;7
"boiter";0;7
"boitiller";0;7
"bolchéviser";1;7
"bombarder";0;7
"bomber";0;7
"bonder";0;7
"bondériser";1;7
"bondir";0;7
"bondonner";0;7
"bonifier";0;7
"cafouiller";0;7
"cafter";0;7
"cagnarder";0;7
"cagner";0;7
"cahoter";0;7
"caillebotter";0;7
"cailler";0;7
"cailleter";0;7
"caillouter";0;7
"cajoler";0;7
"se calaminer";0;7
"calamistrer";0;7
"calancher";0;7
"calandrer";0;7
"calciner";0;7
"calculer";0;7
"caler";0;7
"caleter";0;7
"calfater";0;7
"calfeutrer";0;7
"calibrer";0;7
"câliner";0;7
"câlisser";0;7
"calligraphier";0;7
"calmer";0;7
"calmir";0;7
"calomnier";0;7
"calorifuger";0;7
"calotter";0;7
"calquer";0;7
"calter";0;7
"cambrer";0;7
"cambrioler";0;7
"cambuter";0;7
"cameloter";0;7
"se camer";0;7
"camionner";0;7
"camoufler";0;7
"camper";0;7
"canaliser";1;7
"canarder";0;7
"cancaner";0;7
"cancériser";1;7
"se candir";0;7
"caner";0;7
"canneler";0;7
"canner";0;7
"cannibaliser";1;7
"canoniser";1;7
"canonner";0;7
"canoter";0;7
"canter";0;7
"cantiner";0;7
"cantonner";0;7
"canuler";0;7
"caoutchouter";0;7
"caparaçonner";0;7
"capéer";0;7
"capeler";0;7
"capeyer";0;7
"capitaliser";1;7
"capitonner";0;7
"capituler";0;7
"caponner";0;7
"caporaliser";1;7
"capoter";0;7
"capsuler";0;7
"capter";0;7
"captiver";0;7
"capturer";0;7
"capuchonner";0;7
"caquer";0;7
"caqueter";0;7
"caracoler";0;7
"caractériser";1;7
"caramboler";0;7
"caraméliser";1;7
"se carapater";0;7
"carbonater";0;7
"carboniser";1;7
"carbonitrurer";0;7
"carburer";0;7
"carcailler";0;7
"carder";0;7
"carencer";0;7
"caréner";0;7
"caresser";0;7
"carguer";0;7
"caricaturer";0;7
"carier";0;7
"carillonner";0;7
"carmer";0;7
"carminer";0;7
"carnifier";0;7
"carotter";0;7
"caroubier";0;7
"carreler";0;7
"carrer";0;7
"carrosser";0;7
"carroyer";0;7
"cartayer";0;7
"carter";0;7
"cartonner";0;7
"cascader";0;7
"caséifier";1;7
"casemater";1;7
"caser";1;7
"caserner";1;7
"casquer";0;7
"casse-croûter";0;7
"casser";0;7
"castagner";0;7
"castrer";0;7
"cataloguer";0;7
"catalyser";1;7
"catapulter";0;7
"catastropher";0;7
"catcher";0;7
"catéchiser";1;7
"catégoriser";1;7
"catiner";0;7
"catir";0;7
"cauchemarder";0;7
"causer";1;7
"cautériser";1;7
"cautionner";0;7
"cavalcader";0;7
"cavaler";0;7
"caver";0;7
"caviarder";0;7
"céder";0;7
"ceindre";0;7
"ceinturer";0;7
"célébrer";0;7
"celer";0;7
"cémenter";0;7
"cendrer";0;7
"censurer";0;7
"centraliser";1;7
"centrer";0;7
"centrifuger";0;7
"centupler";0;7
"cercler";0;7
"cerner";0;7
"certifier";0;7
"césariser";1;7
"cesser";0;7
"chabler";0;7
"chagriner";0;7
"chahuter";0;7
"chaîner";0;7
"challenger";0;7
"chaloir";0;7
"chalouper";0;7
"se chamailler";0;7
"chamarrer";0;7
"chambarder";0;7
"chambouler";0;7
"chambranler";0;7
"chambrer";0;7
"correctionnaliser";1;7
"corréler";0;7
"correspondre";0;7
"corriger";0;7
"corroborer";0;7
"corroder";0;7
"corrompre";0;7
"corroyer";0;7
"corser";0;7
"corseter";0;7
"cosigner";0;7
"cosmétiquer";0;7
"cosser";0;7
"costumer";0;7
"coter";0;7
"cotir";0;7
"cotiser";1;7
"se cotonner";0;7
"côtoyer";0;7
"couchailler";0;7
"coucher";0;7
"couder";0;7
"coudoyer";0;7
"coudre";0;7
"couillonner";0;7
"couiner";0;7
"couler";0;7
"coulisser";0;7
"coupailler";0;7
"coupasser";0;7
"coupeller";0;7
"couper";0;7
"coupler";0;7
"courailler";0;7
"courbaturer";0;7
"courber";0;7
"courir";0;7
"couronner";0;7
"courre";0;7
"courroucer";0;7
"courser";0;7
"court-circuiter";0;7
"courtauder";0;7
"courtiser";1;7
"cousiner";1;7
"coûter";0;7
"couturer";0;7
"couver";0;7
"couvrir";0;7
"covoiturer";0;7
"craboter";0;7
"cracher";0;7
"crachiner";0;7
"crachoter";0;7
"crachouiller";0;7
"crailler";0;7
"craindre";0;7
"cramer";0;7
"cramponner";0;7
"crampser";0;7
"cramser";0;7
"craner";0;7
"crâner";0;7
"cranter";0;7
"crapahuter";0;7
"crapaüter";0;7
"crapoter";0;7
"crapuler";0;7
"craqueler";0;7
"craquer";0;7
"craqueter";0;7
"se crasher";0;7
"crasser";0;7
"cravacher";0;7
"cravater";0;7
"crawler";0;7
"crayonner";0;7
"crécher";0;7
"crédibiliser";1;7
"créditer";0;7
"créer";0;7
"crémer";0;7
"créneler";0;7
"créner";0;7
"créoliser";1;7
"créosoter";1;7
"crêper";0;7
"crépir";0;7
"crépiter";0;7
"crétiniser";1;7
"creuser";1;7
"crevasser";0;7
"crever";0;7
"criailler";0;7
"cribler";0;7
"crier";0;7
"criminaliser";1;7
"crisper";0;7
"crisser";0;7
"cristalliser";1;7
"criticailler";0;7
"critiquer";0;7
"croasser";0;7
"crocher";0;7
"crocheter";0;7
"crochir";0;7
"croire";0;7
"croiser";1;7
"croître";0;7
"croquer";0;7
"crosser";0;7
"crotter";0;7
"crouler";0;7
"croupionner";0;7
"croupir";0;7
"croustiller";0;7
"croûter";0;7
"crucifier";0;7
"crypter";0;7
"cryptographier";0;7
"cuber";0;7
"cueillir";0;7
"cuider";0;7
"cuirasser";0;7
"cuire";0;7
"cuisiner";1;7
"se cuiter";0;7
"cuivrer";0;7
"culbuter";0;7
"culer";0;7
"culminer";0;7
"culotter";0;7
"culpabiliser";1;7
"cultiver";0;7
"cumuler";0;7
"curer";0;7
"cureter";0;7
"cuveler";0;7
"cuver";0;7
"cyanoser";1;7
"cycliser";1;7
"cylindrer";0;7
"dactylographier";0;7
"daguer";0;7
"daigner";0;7
"daller";0;7
"damasquiner";0;7
"damasser";0;7
"damer";0;7
"damner";0;7
"dandiner";0;7
"danser";0;7
"dansoter";0;7
"dansotter";0;7
"darder";0;7
"dater";0;7
"dauber";0;7
"déactiver";0;7
"dealer";0;7
"déambuler";0;7
"débâcher";0;7
"débâcler";0;7
"débagouler";0;7
"débâillonner";0;7
"débalancer";0;7
"déballer";0;7
"se déballonner";0;7
"débalourder";0;7
"débanaliser";1;7
"débander";0;7
"débanquer";0;7
"débaptiser";1;7
"débarbouiller";0;7
"débarder";0;7
"débarquer";0;7
"débarrasser";0;7
"débarrer";0;7
"débâter";0;7
"débâtir";0;7
"débattre";0;7
"débaucher";0;7
"débecqueter";0;7
"débecter";0;7
"débenzoler";1;7
"débéqueter";0;7
"débiliter";0;7
"débillarder";0;7
"se débiner";0;7
"débiter";0;7
"déblatérer";0;7
"déblayer";0;7
"débleuir";0;7
"débloquer";0;7
"débobiner";0;7
"déboetter";0;7
"déboguer";0;7
"déboiser";1;7
"déboîter";0;7
"débonder";0;7
"déborder";0;7
"débosseler";0;7
"débotter";0;7
"déboucher";0;7
"déboucler";0;7
"débouder";0;7
"débouillir";0;7
"débouler";0;7
"déboulonner";0;7
"débouquer";0;7
"débourber";0;7
"débourrer";0;7
"débourser";0;7
"déboussoler";0;7
"débouter";0;7
"déboutonner";0;7
"débraguetter";0;7
"se débrailler";0;7
"débrancher";0;7
"débrayer";0;7
"débrider";0;7
"débriefer";0;7
"débrocher";0;7
"débrouiller";0;7
"débroussailler";0;7
"débucher";0;7
"débudgétiser";1;7
"débuller";0;7
"débureaucratiser";1;7
"débusquer";0;7
"débuter";0;7
"décacheter";0;7
"décadenasser";0;7
"décadrer";0;7
"décaféiner";0;7
"décaisser";0;7
"décalaminer";0;7
"décalcifier";0;7
"décaler";0;7
"décalotter";0;7
"décalquer";0;7
"décambuter";0;7
"décamper";0;7
"décaniller";0;7
"décanter";0;7
"décapeler";0;7
"décaper";0;7
"abaisser";1;7
"abandonner";0;7
"abasourdir";1;7
"abâtardir";0;7
"abattre";0;7
"abcéder";0;7
"abdiquer";0;7
"aberrer";0;7
"abêtir";0;7
"abhorrer";0;7
"abîmer";0;7
"abjurer";0;7
"ablater";0;7
"abloquer";0;7
"abolir";0;7
"abominer";0;7
"abonder";0;7
"abonner";0;7
"abonnir";0;7
"aborder";0;7
"aborner";0;7
"aboucher";0;7
"abouler";0;7
"abouter";0;7
"aboutir";0;7
"aboyer";0;7
"abraser";1;7
"abréger";0;7
"abreuver";0;7
"abricoter";0;7
"abrier";0;7
"abriter";0;7
"abroger";0;7
"abrutir";0;7
"s'absenter";0;7
"absorber";0;7
"absoudre";0;7
"s'abstenir";0;7
"abstraire";0;7
"abuser";1;7
"acagnarder";0;7
"accabler";0;7
"accaparer";0;7
"accastiller";0;7
"accéder";0;7
"accélérer";0;7
"accentuer";0;7
"accepter";0;7
"accessoiriser";1;7
"accessoriser";1;7
"accidenter";0;7
"acclamer";0;7
"acclimater";0;7
"accointer";0;7
"accoler";0;7
"accommoder";0;7
"accompagner";0;7
"accomplir";0;7
"accorder";0;7
"accorer";0;7
"accoster";0;7
"accoter";0;7
"accoucher";0;7
"s'accouder";0;7
"accouer";0;7
"accoupler";0;7
"accourcir";0;7
"accourir";0;7
"accoutrer";0;7
"accoutumer";0;7
"accréditer";0;7
"accrocher";0;7
"accroire";0;7
"accroître";0;7
"s'accroupir";0;7
"accueillir";0;7
"acculer";0;7
"acculturer";0;7
